serving,lines,stop_name,borough
MEZZANINE AND DOWNTOWN,A/B/C/D,125 St,MN
MEZZANINE AND UPTOWN,A/B/C/D,125 St,MN
MEZZANINE TO UPTOWN AND DOWNTOWN PLATFORMS,4/5/6/METRO-NORTH,125 St,MN
STREET TO MEZZANINE,4/5/6/METRO-NORTH,125 St,MN
STREET TO MEZZANINE,A/B/C/D,125 St,MN
STREET TO MEZZANINE UPTOWN PLATFORM,2/3,135 St,MN
STREET TO MEZZANINE AND DOWNTOWN PLATFORM,2/3,135 St,MN
MEZZANINE TO DOWNTOWN ACE PLATFORM,A/C/E,14 St,MN
MEZZANINE TO L PLATFORM,L,14 St,MN
MEZZANINE TO UPTOWN ACE PLATFORM,A/C/E,14 St,MN
STREET TO MEZZANINE,A/C/E,14 St,MN
MEZZANINE TO DOWNTOWN PLATFORM NR ,L/N/Q/R/W,14 St - Union Sq,MN
MEZZANINE TO UPTOWN PLATFORM NQR,L/N/Q/R/W,14 St - Union Sq,MN
STREET TO MEZZANINE,L/N/Q/R/W,14 St - Union Sq,MN
STREET TO DOWNTOWN PLATFORM,2/5,149 St - 3 Av,BX
STREET TO UPTOWN PLATFORM,2/5,149 St - 3 Av,BX
MEZZANINE TO DOWNTOWN BD,4/B/D,161 St - Yankee Stadium,BX
MEZZANINE TO UPTOWN BD,4/B/D,161 St - Yankee Stadium,BX
MEZZANINES TO  UPTOWN 4 PLATFORM,4/B/D,161 St - Yankee Stadium,BX
MEZZANINES TO DOWNTOWN 4 PLATFORM,4/B/D,161 St - Yankee Stadium,BX
STREET TO MEZZANINE,4/B/D,161 St - Yankee Stadium,BX
MEZZANINE AND UPTOWN,A/C,168 St,MN
MEZZANINE TO DOWNTOWN,A/C,168 St,MN
STREET TO MEZZANINE,A/C,168 St,MN
MEZZANINE TO PLATFORM,A,175 St,MN
STREET TO MEZZANINE,A,175 St,MN
MEZZANINE TO PLATFORM,F,179 St - Jamaica,QNS
MEZZANINE TO PLATFORM,F,179 St - Jamaica,QNS
STREET TO MEZZANINE,F,179 St - Jamaica,QNS
MEZZANINE TO PLATFORM,A,207 St - Inwood,MN
STREET TO MEZZANINE,A,207 St - Inwood,MN
MEZZANINE TO DOWNTOWN,F,21 St - Queensbridge,QNS
MEZZANINE TO UPTOWN,F,21 St - Queensbridge,QNS
STREET TO MEZZANINE,F,21 St - Queensbridge,QNS
NORTHBOUND PLATFORM TO STREET,6,23 St,MN
SOUTHBOUND PLATFORM TO STREET,6,23 St,MN
STREET TO MEZZANINE,1,231 St,BX
STREET TO MEZZANINE UPTOWN PLATFORM,1,231 St,BX
